"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"PM41881";6943;"PM41881";"M-30";433613.629819915;4470965.84276357
"PM41882";6944;"PM41882";"M-30";433622.281752635;4470960.17877817
"PM20721";6737;"PM20721";"M-30";444198.25325191;4475037.39300994
"PM20722";6738;"PM20722";"M-30";444216.649009236;4475035.00217245
"PM10661";6664;"PM10661";"M-30";444095.892229364;4475602.55470752
"PM23187";6931;"PM23187";"M-30";442406.135679438;4481842.43445113
"PM20777";6741;"PM20777";"M-30";444294.085280246;4474446.88363918
"PM20778";10267;"PM20778";"M-30";444293.044251295;4474455.15707979
"PM41196";6762;"PM41196";"M-30";442135.764907016;4470741.05074981
"14XL89PM01";7121;"14XL89PM01";"M-30";440009.115056259;4472123.70118022
"PM41891";6952;"PM41891";"M-30";432857.656489622;4470234.05019013
"PM42051";6796;"PM42051";"M-30";437396.160027091;4476514.92457188
"PM42052";6797;"PM42052";"M-30";437379.677413936;4476497.29811128
"15NC71PM01";6849;"15NC71PM01";"M-30";439322.567944197;4472634.80980922
"15RE04PM01";6857;"15RE04PM01";"M-30";439791.547819488;4472380.38330463
"15RM58PM01";6855;"15RM58PM01";"M-30";439587.248948907;4472343.96798445
"15RR41PM01";6864;"15RR41PM01";"M-30";439743.158485699;4472433.58734801
"15RR60PM01";1031;"15RR60PM01";"M-30";439668.722512943;4472622.4058166
"PM42352";6799;"PM42352";"M-30";436938.112709784;4478705.67422898
"PM40463";6661;"PM40463";"M-30";443835.443101333;4477424.14018747
"15RT07PM01";1036;"15RT07PM01";"M-30";439599.896155275;4472320.78141945
"PM21192";6761;"PM21192";"M-30";442102.407459315;4470767.15406213
"PM22121";6766;"PM22121";"M-30";437502.767537737;4476915.82155757
"PM41201";10205;"PM41201";"M-30";442035.535425332;4470028.75452064
"PM41202";10207;"PM41202";"M-30";442043.118109099;4470035.0351636
"13XC97PM01";6870;"13XC97PM01";"M-30";440535.382651911;4471958.4987757
"13XL49PM01";1019;"13XL49PM01";"M-30";440975.711204412;4471190.61936689
"PM33222";7128;"PM33222";"M-30";443107.719777627;4481902.03722036
"PM43031";6805;"PM43031";"M-30";440751.904898044;4483426.6966596
"14XC71PM01";7119;"14XC71PM01";"M-30";439849.801068781;4472189.39801832
"14XL36PM01";1021;"14XL36PM01";"M-30";440470.333561855;4471876.05544723
"90ET43PM01";6889;"90ET43PM01";"M-30";441831.803521767;4470615.12271258
"18NC80PM01";1017;"18NC80PM01";"M-30";438564.594633147;4475086.6203328
"16XC70PM01";6844;"16XC70PM01";"M-30";438750.113412611;4473111.89399946
"18XC82PM01";1018;"18XC82PM01";"M-30";438626.072197928;4475035.9651977
"19XC40PM01";7123;"19XC40PM01";"M-30";438139.606252645;4475328.27239547
"19XC80PM01";7122;"19XC80PM01";"M-30";437830.836306803;4475584.9581788
"90EL00PM01";6880;"90EL00PM01";"M-30";441472.026378636;4471207.37430854
"90EL16PM01";6881;"90EL16PM01";"M-30";441516.049392544;4471090.92633626
"PM11161";6683;"PM11161";"M-30";442309.645530599;4471215.52498501
"PM11168";6684;"PM11168";"M-30";442314.677402466;4471203.92820616
"PM11201";6685;"PM11201";"M-30";442001.15507385;4470800.90632008
"PM11208";6686;"PM11208";"M-30";442000.96236515;4470788.10294225
"PM11301";6687;"PM11301";"M-30";441388.234706708;4470845.61520105
"PM11981";6689;"PM11981";"M-30";437791.576826126;4475662.93138617
"PM12061";6690;"PM12061";"M-30";437554.959221541;4476184.24045197
"PM12121";6691;"PM12121";"M-30";437535.885738328;4476824.33460288
"PM12122";7125;"PM12122";"M-30";437580.032574108;4476832.55485994
"PM12211";6692;"PM12211";"M-30";437382.479828033;4477606.63949568
"PM12241";6693;"PM12241";"M-30";437204.248383792;4478205.6948375
"PM12331";6694;"PM12331";"M-30";437026.734858537;4478888.87442679
"PM12342";6813;"PM12342";"M-30";436978.019898726;4479050.30135713
"PM12391";6695;"PM12391";"M-30";436826.885270263;4479457.54013952
"PM12471";6696;"PM12471";"M-30";436553.710315872;4480192.95927608
"PM12502";10180;"PM12502";"M-30";436496.739581337;4480562.71137745
"PM12571";6698;"PM12571";"M-30";436893.664752655;4480887.30227226
"PM12572";6815;"PM12572";"M-30";436929.359240102;4480878.65702997
"PM12622";6817;"PM12622";"M-30";437513.091111228;4480797.08195099
"PM12641";6699;"PM12641";"M-30";437723.86495151;4480738.12280169
"PM12721";6700;"PM12721";"M-30";438318.441058956;4480690.62543049
"PM12781";3801;"PM12781";"M-30";438877.050684571;4480955.00865498
"PM12851";6914;"PM12851";"M-30";439434.766403035;4481389.82534711
"PM12921";6702;"PM12921";"M-30";440100.275454716;4481623.97343784
"PM12961";3510;"PM12961";"M-30";440483.418177377;4481745.67980505
"PM12981";6703;"PM12981";"M-30";440691.737302758;4481843.58094045
"PM13011";6704;"PM13011";"M-30";440949.09880885;4481969.45537057
"PM13014";6705;"PM13014";"M-30";440956.162892383;4481959.14267616
"PM13041";6706;"PM13041";"M-30";441231.671707802;4482070.01640312
"PM13044";6707;"PM13044";"M-30";441231.830166961;4482062.02855237
"PM13101";6708;"PM13101";"M-30";441774.139489661;4481834.29611059
"PM13103";6709;"PM13103";"M-30";441780.547082404;4481837.48703726
"PM13104";6710;"PM13104";"M-30";441771.504687664;4481822.60482361
"PM13181";6711;"PM13181";"M-30";442415.584262677;4481823.18922926
"18RN69PM01";6837;"18RN69PM01";"M-30";438780.89516652;4474518.62479551
"PM13202";6818;"PM13202";"M-30";442684.337462426;4481892.43614509
"18RT11PM01";1043;"18RT11PM01";"M-30";438962.190268082;4474646.57456204
"PM13212";7130;"PM13212";"M-30";442904.600779121;4481841.96763602
